prompt_injection_risk,data_exposure_risk,model_access_level,guardrail_strength,external_tool_access,likelihood,business_impact
1,6,9,10,0,6,Low
9,4,3,1,1,8,High
10,10,9,2,0,7,High
5,7,3,3,1,2,Medium
8,10,1,9,1,5,High
2,7,9,7,0,3,Medium
8,9,4,8,1,10,High
4,9,10,9,0,4,Medium
2,5,7,6,0,2,Low
7,7,6,6,0,6,High
6,10,1,5,0,6,High
10,8,10,3,1,1,High
4,4,6,3,0,2,Medium
1,4,10,3,1,1,Medium
6,2,5,8,1,1,Low
6,4,9,4,0,9,High
9,5,9,8,0,1,Medium
7,10,9,1,1,3,High
1,5,4,10,1,1,Low
8,1,2,7,1,6,Medium
2,1,5,7,0,7,Low
9,2,6,8,0,3,Low
4,9,8,9,0,1,Medium
4,9,5,6,1,7,High
3,1,6,6,1,5,Low
4,9,5,1,1,7,High
1,9,5,4,0,6,Medium
7,3,2,7,0,7,Low
4,10,3,7,1,10,High
6,8,9,3,0,3,High
10,9,4,3,1,9,High
3,7,3,10,0,6,Low
2,9,9,2,0,6,High
3,1,6,7,1,5,Low
8,5,3,4,0,3,Medium
3,1,10,10,1,10,Low
10,10,4,10,0,4,High
1,6,2,8,0,9,Low
10,8,6,3,1,8,High
8,3,3,4,0,1,Medium
7,1,5,7,0,4,Low
4,2,3,8,1,6,Low
8,4,7,7,0,10,Medium
7,6,7,10,0,9,Medium
2,8,8,1,0,9,High
9,7,1,9,1,9,High
1,4,5,8,1,5,Low
5,8,3,7,1,10,High
1,9,3,8,1,2,Low
9,2,3,10,0,7,Low
7,6,8,1,0,8,High
10,4,8,2,1,6,High
3,2,2,2,1,6,Medium
2,9,7,9,0,7,Medium
9,7,1,3,1,10,High
3,3,3,3,0,7,Medium
5,5,8,5,0,2,Medium
3,4,1,10,1,1,Low
8,8,8,9,0,10,High
8,4,4,10,1,8,Medium
7,8,2,10,0,4,Medium
9,5,10,9,0,1,Medium
3,3,1,6,0,3,Low
1,10,10,5,1,2,High
1,2,7,3,0,5,Low
10,10,10,9,0,8,High
10,6,1,2,1,6,High
6,7,2,7,0,5,Medium
8,3,2,5,1,9,Medium
7,9,4,4,0,2,High
10,9,2,8,1,7,High
10,6,5,9,1,3,Medium
10,10,8,9,1,8,High
3,10,4,5,0,1,Medium
2,1,8,2,0,10,Medium
